CSD code,Largest included sphere diameter (A),Total volumetric surface area (m^2/m^3),CO2 uptake at LP (mol/kg),CO2 uptake at HP (mol/kg),CH4 uptake at HP (mol/kg),logKH_CO2,Band gap (eV)
IPIHIA,4.19682,284.737,2.6459483873,5.0320203802,3.9506113534,-2.0791668277101687,2.932672
MOZFIR,3.96385,18.296,0.4105720027,1.2334413121,1.0593744996,-4.357802667876805,1.965851
HOXSIY,4.90036,434.529,4.3044968387,5.637951825,4.6995654744,-0.9306649652100608,2.928394
NAHNES,12.52913,1984.49,0.2765719584,21.5940126531,17.0270945,-4.739558903243879,0.325202
GAJZUO,4.6702200000000005,908.55,5.6061829367,6.0006551647,3.5218966524,-0.7020644936403526,3.668988
KEXPOU,4.06064,109.057,2.4424438597,3.9487386152,3.7501132853,-3.4174230636299288,3.216944
CAXVII,11.59355,1483.65,2.2399129034,11.5224660871,8.1149432869,-3.791991541244844,0.1872
PORVUO,4.67797,913.795,2.9797465841,6.9723727094,7.0030178886,-3.4744770841007004,1.181142
DIDDOK,9.60031,2452.87,0.2961376213,24.360219251,19.5384200637,-4.706935918083864,1.481445
OGAXUR,6.21326,862.099,2.4205002559,5.6273564089,4.5740376917,-3.444742268039733,0.380156
QUDJOP,6.19638,1490.34,4.5932559883,9.3294195466,6.7170232363,-2.324178597505795,0.7431760000000001
FERVOP,4.39579,237.33,1.6031240997,4.6671603679,3.2175306694,-3.7986957536126673,0.920251
XEGJOK,8.03848,1674.5,1.713,9.5870242111,7.3819274577,-2.9261643876512338,1.088483
MIJMAU,6.68967,1115.21,0.39599753,5.7784932371,4.9530728628,-4.574721801774191,1.15361
IZIHOQ,7.0561,1215.0,2.9417854988,6.6518586316,4.4704964862,-2.0256813187439207,3.217086
VAQSEO,5.56221,411.52,0.5919136939,1.9068779087,1.7316281319,-4.268555486433846,2.511486
YAZZAC,4.64776,244.012,2.1591714623,3.4945830917,1.7392138428,-2.5033290693172106,1.5887250000000002
UGAQEY,4.89575,756.718,4.6302321213,6.7017257514,4.1652693987,-1.6117317942044287,1.310462
MIKJAR,5.99502,536.183,0.8851921439,2.7183772402,1.6056197517,-3.976031853236694,4.399295
IQOZUJ,5.11734,490.539,1.0048799425,3.5227528171,3.1553805812,-3.983597681089141,0.7961999999999999
PARHEW,7.38605,2086.57,4.4240368228,23.7748496002,15.6685503392,-3.518653414229832,3.229196
RESSAK,5.33635,600.391,2.2938463031,6.1725036065,5.7902199765,-3.694801305446898,1.226385
GUFXEM,6.06791,1363.83,2.7510256,7.0719178402,5.7631317471,-2.903357594824473,2.980232
XIFHIF,9.50274,1407.01,2.5048627598,7.4101281953,4.9400640983,-3.068813266576164,2.73733
UJAQUS,7.15939,1718.53,5.6361956725,13.1058332195,9.3654604662,-2.802369389976652,2.9641
MIHHUG,5.15935,298.886,1.4831285642,3.0693319129,2.7619703568,-3.252579646152399,2.12911
SAKRAZ,5.58245,2063.4,1.0985377672,10.6487444283,8.3803242051,-4.1516753796306975,2.834363
HUCXIO,6.71014,1135.72,2.253412905,6.7296030195,5.753812223,-3.363672611634012,1.326039
AVESOL,5.87218,2007.17,2.5624321103,12.1660822951,10.8019404243,-3.69117743402777,3.305498
XEHFUL,4.30377,97.696,3.0259216853,3.236102305,2.4003040362,-0.7815248905975697,3.476114
GIRYIR,4.09649,64.1624,0.5179869406000001,1.3870197102,1.3130304559,-4.127102852729887,1.267963
MAFLUD,5.38373,1175.61,1.3042014725,8.0344720288,7.0745402731,-3.9930977430322687,2.274949
IVUVIG,6.23822,1251.12,4.105680592,6.6239538067,4.6928640508,-1.0595876187669615,1.56605
HAPNUK,5.80307,890.103,1.0272383362,5.8308743013,4.3932639672,-4.199828881543715,1.422447
NUYWOU,4.72881,236.142,1.8403892188,3.4715014701,2.2789955269,-3.0958689550219627,2.982934
BIQHEQ,4.74191,654.379,2.963841465,6.5573797827,6.1705576365,-3.168458469127829,0.2159299999999999
SIVGOV,5.24396,1221.02,1.4255424223,7.6328274277,5.9198125007,-3.9626771075956606,5.211279
LUMLIQ,4.75675,408.663,1.9831872351,2.788615129,2.6401593899,-2.756515477993542,3.0551630000000003
AMUPOP,4.74814,309.351,1.2561477921,2.7562309315,3.1081679033,-3.608597307149831,2.982527
BERFIP,4.07847,26.3372,1.5818118865000002,1.7516261945,1.5654187317,-2.565876795768037,2.247394
MICPEU,5.1290700000000005,705.94,3.636352482,8.624516436,5.2445122823,-3.199124213338472,3.079619
BEGBOG,4.23611,103.565,0.0157774064,1.2206299213,4.5109178093,-5.997164646821277,3.829265
PEPLOM,5.48105,1049.73,0.9553864894,5.861995212,5.1449932459,-4.146050043392786,0.893736
RORRIB,5.56844,1146.27,0.3818356432,3.6696137743,3.0219424574,-4.592057017200903,2.130637
SABWEA,4.53458,229.161,2.0601277647,3.6295976327,1.9024368642,-1.1556222449568423,1.000394
GAJZEY,4.80464,969.567,4.8456832132,5.4714720265,3.0664125265,-1.398058370045826,3.478989
TOZHAR,4.71595,803.969,0.5079576325,6.640460426,6.2950286537,-4.462591475751913,2.104803
GOWVOF,4.48348,415.968,4.4642325793,5.3768319642,4.214104953,-1.0067661934892993,3.040721
WALBOC01,4.21583,141.025,2.2887832021,4.7165830911,3.1763721979,-3.206920288885014,2.857902
IVOWOG,4.90446,713.548,5.5657720135,9.3067104934,6.6933016637,-1.83801543795373,2.557262
IVARUT,3.98401,32.6674,1.1257307484,3.1463296083,2.6657065256,-3.815487433149471,2.765383
EQOCIW,5.70211,587.423,1.0392870082,3.9030114961,3.1650854028,-3.965307386417455,1.128087
PIHWAG,8.27361,1248.95,0.9104225978,7.0687851266,5.7225983018,-4.223842387266641,2.248314
OSAVUA,5.76863,1480.27,9.1584898095,14.5090230866,8.6984672152,-2.5245496462779164,2.29936
SIRZUQ,6.19917,197.688,0.1682306817,1.18804595,1.1398171454,-4.8409895657023725,1.78304
POKTUG,4.00604,24.5158,0.2310827988,1.4576267665,0.971436972,-4.773701757128977,0.862877
VAJHIA,4.2954,110.298,0.8809808944,2.1874792574,1.3656160122,-3.6910835984563137,3.2309780000000003
QOZPIG,4.54942,627.704,1.5422127029,6.5910874838,5.7746421678,-3.9417334485970072,2.785953
ZOMNOG,5.94125,1035.89,1.7925078547000002,12.0468502667,10.1767781678,-3.865542381606345,2.747723
CAVREY,7.18071,1784.3,1.2733247958,9.8155241849,8.0318664668,-3.918062510511829,3.048307
GIQXIO,4.89641,832.5,2.9428655225,5.6232304313,4.440906128,-0.8699751729954562,0.3323409999999999
LABKIL,4.11202,10.9966,0.5364017160000001,1.2085241948,1.4259961403,-3.909406918117005,2.169389
ABEXEM,4.8208400000000005,641.266,2.7876345496,4.3479513151,2.5015883151,-2.858048804137247,1.93495
EXIBUI,4.33334,243.466,2.2280412486,2.9114536747,1.3918716089,-0.8785287963846821,2.103561
UPOVOL,4.46391,459.776,3.4274126561,5.2844150028,4.6704745761,-2.569133546374529,4.548945
SABWUQ,4.45229,183.271,1.9410753384,3.2029309604,1.6760140779,-2.0704089234211223,1.011037
MOYYEF,7.68803,1727.92,0.698727631,10.9744413929,8.4538245186,-4.322230673398407,0.5893890000000002
SAKRED,5.5169,2016.02,0.9004824814,10.50881564,8.2571946681,-4.222673968826457,2.87475
XOVYUD,3.82744,3.29991,1.8604639525,3.5128803052,1.4142187907,-3.23620301292748,3.410298
BEPLUF,10.54661,1244.59,3.2421386675,10.6817036544,8.2149820825,-3.209249819772087,3.019978
XUMNEA,5.24244,366.247,1.6477147336,3.4071166581,3.2402432109,-3.38912274393789,1.891106
JOSNAG01,4.34391,142.108,2.8190791059,4.6332564666,3.4123114507,-1.2879019332260957,4.562824
JUFZER,4.28524,97.1036,1.6295999473,1.7706391535,1.5784249196,-2.5045514120469496,2.69121
CETFUD,4.78644,821.735,3.3352886396,4.9572172397,4.3588350374,-1.2585600181860823,2.953704
GIQYOV,4.65102,1102.64,3.1218962116,5.3815142525,4.1311119346,-1.895588009009533,0.33646
ICOWON,5.79599,1125.46,4.627384583,8.2815208336,5.2252743435,-2.465902787218565,4.66433
KAYBIX,5.6946,1106.09,5.0498140108,7.5987871285,5.4612346689,-2.557786847277181,2.939192
NUYWEK,4.35086,87.7084,0.4489703871,1.841390625,1.7690503249,-4.325227930900384,3.157521
QUGBUQ,4.00553,11.9318,0.0265186426,0.7241988833,0.5966593959000001,-5.752343368743343,2.4326930000000004
KAXZUG,4.51369,88.6155,0.4537056781,0.9076230214,0.8445490957,-4.1680912113255735,3.255789
WECFAN,5.13884,658.708,2.1394010395,5.5222844471,3.02639979,-3.582676141549705,0.41877
PUPXII01,3.82607,6.35281,3.289238324,3.4820521524,2.3799462519,-1.6437541814909704,0.532127
