CSD code,Largest included sphere diameter (A),Total volumetric surface area (m^2/m^3),CO2 uptake at LP (mol/kg),CO2 uptake at HP (mol/kg),CH4 uptake at HP (mol/kg),logKH_CO2,Band gap (eV)
REYBAA,4.19945,158.552,0.8241940521000001,2.986595232,2.1886959106,-4.035181946170189,1.0169700000000002
COKPUP,11.57951,1503.13,2.0532743287,10.9729032967,8.0804774266,-3.849790225024217,2.136242
MICPAQ,4.95326,707.831,3.586059504,9.3291436523,5.632702716,-3.337617145172626,3.026943
PEVLIN,4.23888,155.554,2.6193575961,2.6342887906,2.4199278225,-0.5777467620946495,2.984867
KIYQIU,5.86454,1284.55,2.3069069508,6.8517349356,6.0485953437,-3.6489094151450088,2.572195
XEQRAO,5.51146,650.904,1.917801694,3.7870928357,3.6135161388,-3.2884095506488222,1.941192
OGAGIN,5.17696,446.31,0.9196278264,3.205641807,2.2636800403,-4.062069573770582,1.885592
DAWCOV,6.44243,1467.26,3.5929933079,10.6545951053,9.1184860236,-3.4269194293474072,1.23335
LEDHEJ,5.17343,503.005,2.5070156955,3.0310883913,2.3263765992,-2.2213915335203107,3.11402
OWIHUZ,7.37728,1463.55,2.7400348478,8.6090879786,7.2597161503,-3.8153199234349255,3.395251
BEPPOD,10.03622,1112.91,3.2381971843,9.6376185875,7.0150108412,-3.063316895594288,0.0890569999999999
FOKWIN,4.14623,113.466,0.7362821948,2.2721159928,2.7079055767,-4.005184157118365,0.690909
YIHBIC,5.86609,1413.28,6.4168469011,11.5203731392,7.7643451494,-1.4917599072361152,2.364624
QOZDOY,5.27343,837.373,2.9816771881,5.2393010163,4.9374476349,-3.2306175037822324,2.244078
MIHHUG,5.15935,298.886,1.4831285642,3.0693319129,2.7619703568,-3.252579646152399,2.12911
RIYWED,4.63321,131.233,2.1744104141,2.4496799227,2.2699087035,-2.4571658623506023,3.024011
RAXDAX,3.78,1.7515900000000002,0.2145490839,2.1815186021,1.788505965,-4.776112254554779,1.84677
APAYOH,6.13125,1841.45,4.6572418171,10.1027849498,8.2471942773,-2.374334699508012,2.798149
MOXNUJ,7.33692,1756.01,2.3640213693,17.7988519835,10.8704364262,-3.766481019324574,0.958962
HIVQAG,4.56148,267.337,1.4811463098,2.5709086263,1.9471512687,-3.1176832673051185,0.871564
TIRLIQ,5.16708,554.571,0.9532424402,3.6392241863,3.1985753538,-4.031789388088407,3.080805
ZETPUL,4.3933,32.9414,0.0398315113,0.5725020169,0.9408488664,-5.520590262866024,3.64576
KAYBIX,5.6946,1106.09,5.0498140108,7.5987871285,5.4612346689,-2.557786847277181,2.939192
MOZFIR,3.96385,18.296,0.4105720027,1.2334413121,1.0593744996,-4.357802667876805,1.965851
ZUSBIA,4.68848,497.442,2.3681463666,6.0558377756,4.6682147103,-3.5336188246354308,2.414843
KOSKUA,11.38797,1440.18,2.8096805418,11.449109294,7.9789504764,-3.7205087252731377,1.071221
AMUFIZ,3.98894,29.8666,1.8385857278,2.5810574736,2.0246383595,-2.8819734900511307,0.03598
MIKJAR,5.99502,536.183,0.8851921439,2.7183772402,1.6056197517,-3.976031853236694,4.399295
NUYWEK,4.35086,87.7084,0.4489703871,1.841390625,1.7690503249,-4.325227930900384,3.157521
NUYWOU,4.72881,236.142,1.8403892188,3.4715014701,2.2789955269,-3.0958689550219627,2.982934
GACPUX,5.9525,1118.84,2.8143912963,9.671767113,7.4355937691,-3.5015047380008686,2.934917
GUBVUU,6.86464,1328.1,3.4353768248,10.7200880387,8.7735883817,-3.3663326225119885,0.4173299999999998
MIVNUB,3.84269,4.62958,0.099332446,1.6654711631,0.656838189,-5.168635170617267,3.340216
XENKIM,7.32998,1996.83,3.7765236026,15.8261849821,12.0068336125,-3.615263185114317,0.963749
ADABUE,4.5494900000000005,192.049,0.3904355976,1.8280438459,1.7935700039,-4.516103316042369,0.710393
AHINIP,5.10577,155.204,0.8886312863,2.5701106854,1.8247056279,-3.8421837353017385,2.062508
SARHAW,11.26396,1494.94,3.9734623907,11.6644913398,8.1506586736,-3.528042685422887,0.627175
HUQHOS,9.7384,1719.47,0.7812964961000001,14.9444642397,12.2485306941,-4.190000154058473,1.639982
XUMVEH,5.51001,1705.63,4.6232226911000005,9.5295794371,6.578951755,-1.236529327869564,2.047397
DOYBEA,5.83429,1342.36,3.6139983305,9.3554910794,6.2629113713,-3.386968348354616,2.8688770000000003
DURDAX,8.5072,2495.17,2.6436491658,20.4779665224,14.6370178395,-3.5887221408655736,2.95335
IZEBEV,3.9737,32.0756,2.0360578214,2.0914977041,1.3288191145,-2.246476689431302,2.729306
CUYRUK,3.95948,11.2004,0.0300945654,1.0045569984,1.114110004,-5.739406341057072,2.649317
OTATOT,5.58723,1429.4,0.9023576824,7.6495369916,5.5509031627,-4.270190729024608,0.0246529999999998
REYCOP,3.95649,20.7056,0.7598898352,3.4125253661,1.7714475667,-4.146937880903302,2.535329
RUGZAW,9.17489,1304.97,2.1072851402,10.9216451013,8.3618395247,-2.9121369822336467,1.4129850000000002
ZURLAB,4.89339,257.028,0.4938772754,2.0743303693,1.824220705,-4.362977838966473,0.0905219999999999
TUTHOG,7.58539,1319.52,4.9938981738,9.698844188,8.114677171,-2.998426365452555,1.3063269999999998
RUGKOV,6.88401,2390.24,3.3610956207,14.0477765047,10.1756226642,-2.652878886645812,2.7762580000000003
KOZSID,5.70928,249.381,0.1178170921,1.3395815511,1.1627002029,-5.05582736682535,0.6330319999999999
YAHPED,6.77398,1469.77,1.148333554,9.2611508595,8.2195345733,-4.11934415383406,1.1876380000000002
LAGQOB,4.896710000000001,1276.92,4.1341037716,7.1916444376,6.1711693615,-2.066576494346046,2.369072
COYCEZ,6.30223,1337.39,1.8570221024,7.9709495041,6.2653845894,-3.699724159681229,1.2592500000000002
LOXWEC,7.26238,913.235,0.2656327642,4.2241083477,3.9845437621,-4.751543635126591,0.647717
GADDOH,8.41895,1532.29,3.6637512082,9.1666622638,5.958328877,-2.019907504872124,3.4154940000000003
ADODOO,5.9443,856.123,1.3338722856,4.4612849629,3.6779930289,-3.918224370782837,3.445564
KOMJON,5.80364,194.55,0.1899682917,0.938254812,0.7304996773,-4.765849845394492,4.445425999999999
ILOJEZ,4.06811,53.053,0.6349657906,2.3324540756,1.9303662113,-4.2516561202641565,2.769203
YUZBIG,5.58636,433.855,1.6297906819,3.1301448157,2.0507705981,-3.3528929532034075,3.823177
FIGXEY,3.78573,1.14429,0.978746818,5.6912070012,1.3879016232,-4.156706786272601,4.584853
PORVUO,4.67797,913.795,2.9797465841,6.9723727094,7.0030178886,-3.4744770841007004,1.181142
QUQBAH,9.66456,1669.96,0.5474518579000001,15.8421514502,12.7091552361,-4.441885691571684,0.0846200000000001
QUPHIT,4.22766,288.82,1.6931188126,3.8082128633,3.9046333772,-3.386586343532477,0.460209
DATHAJ,5.55335,489.269,2.8317928244,2.997567683,1.8448231005,-0.1356800030809186,3.145259
LIDWIG,6.16997,872.791,1.5291715254,5.6353319367,4.7269570379,-3.900567992868288,0.400978
SABWEA,4.53458,229.161,2.0601277647,3.6295976327,1.9024368642,-1.1556222449568423,1.000394
ZUSBOG,4.86162,637.213,2.5099260232,6.3822150533,5.9189888824,-3.538818230499764,2.565047
OMIPAD,5.24341,313.783,1.6992714388,3.4905843995,3.2749708124,-3.277937286980566,1.86735
OSIXIY,4.45544,199.496,0.6935291515,1.310516802,1.5122125511,-3.951158270344026,3.023428
CAVREY,7.18071,1784.3,1.2733247958,9.8155241849,8.0318664668,-3.918062510511829,3.048307
JORYUM,7.33951,894.162,0.2227685804,5.2699841387,4.0472666021,-4.833421890080348,3.487636
JALPAQ,3.97561,16.0219,0.0711582459,1.6775369957,1.5266554682,-5.310091181101221,0.902551
ZOHBUV,4.01075,30.7255,1.4695959956,4.0967791002,0.7531006087000001,-3.918443877728072,2.886452
CUGFOB,3.89377,13.4897,0.3119523625,2.6049415912,1.4040822186,-4.621911121361213,3.553257
INOMOP01,5.44312,1113.77,5.5324637162,10.2736113503,6.0092641488,-2.800148871813526,3.067022
OKAYIK,4.91102,235.649,1.4008950254,1.925032459,1.5594919377,-3.005620809692674,2.766745
HIYBUN,10.15365,1430.85,0.1466559925,7.7484540758,5.3104065878,-5.0014939338058095,2.028989
FAVGUH,4.86763,537.129,1.373361363,2.7520506231,2.2358859879,-3.0043064647089914,2.915471
SABZED,4.43879,183.782,1.9528827031,3.2086735165,1.6791270816,-2.120553155054797,1.016299
LOFVIN,6.31143,443.905,2.4643371164,5.0363162231,3.062001331,-1.853007338713189,1.3791060000000002
UXABOL,5.3893,608.536,2.8044035121,3.9697957062,2.022719705,-2.469307356364799,2.357389
TAKTIL,7.09237,1387.62,4.8983208641,9.3322069589,8.0563830671,-3.520410295152005,3.3685910000000003
AVIMUO,5.70679,502.896,3.8427077418,6.1071744046,3.4272718879,-2.545184093922092,1.065211
KAYBUJ,5.49315,1144.51,5.0292752664,7.5878780782,5.8902901357,-2.560640459704284,2.950855
UTELIQ,6.45449,1262.56,6.69728889,12.5474599767,10.0230777659,-2.297297253134776,1.4908670000000002
DUMXEQ01,4.78039,440.721,1.2864625872,3.0575708514,2.6240279583,-3.806104934380649,2.76466
MUFYAP,6.26363,594.05,2.9011526054,5.1890026932,3.0043799328,-2.021818569720788,2.098381
DEFKUU,5.40643,1309.63,0.980252274,4.2976156916,3.9534488882,-4.1295521992491535,0.539571
KOMJED,5.84055,204.652,0.1830691424,1.0065822766,0.7334220322,-4.799346455898699,4.428343
HAWZEM,4.83947,665.5889999999999,2.6445456839,4.9457865748,4.5179011856,-3.3024472370278666,0.926001
FIMXUW,4.9624500000000005,477.565,1.6629314039,2.8500929264,1.6219462132,-1.9405009548395704,2.63904
IBASUB,7.25865,730.288,0.3416953718,2.8160512115,2.9655682061,-4.580249062213731,0.935073
HUDWUA,5.86312,1190.42,2.3420350596,6.8072171139,5.649577843,-3.611256006752497,0.1111649999999999
QUZZES,5.06119,651.609,4.820054661,9.2523633335,7.1661277526,-3.019614344717229,2.217628
SOKWUM,5.85854,2073.32,0.1665399727,5.8749517073,5.0930083939,-4.962434072087151,0.736383
MUZVUA,6.29282,1669.31,1.7173351433,8.5476386993,6.9963271052,-3.513131904850149,2.55778
MAGBAZ,7.74379,1809.88,0.3589164062,10.9774800339,9.1902424619,-4.634416555693362,3.325479
XUDYEC,6.34584,1818.91,3.2457656088,9.6357628166,7.6248560276,-3.13776125345607,2.362762
PEWFII01,4.22419,340.45,2.6939516336,4.3894811602,2.2801197462,-2.9618012246210346,0.904726
QARCET,5.6311,599.27,1.0662779449,2.9751671301,2.6583024962,-3.887468727552191,2.167796
IHIMAP,4.88033,415.101,2.2516391336,3.6491718359,1.6881813626,-3.454402213866452,4.502768
UXOZIS02,5.14755,653.119,0.2728146973,8.1984401717,8.1870793594,-4.739558903243879,0.4479740000000001
QUJFUX,3.94761,39.8428,2.6462911412,2.7588372715,1.9379050836,-1.4259698903924436,3.314558
PEZCII,12.50562,1321.99,1.4555947679,10.8373653645,8.4110983919,-3.539432887938998,2.920721
PEGCIP,5.4738,1074.69,2.8519216022,6.4187643023,5.0415827768,-2.8407968764450726,0.752587
EQUBIC,4.62524,496.233,2.6227238382,2.9712231717,2.5803067554,-2.1116233485595264,3.677651
NUTYIM,13.08435,1601.9,0.7693545422,15.9186001549,11.4885121103,-4.169075316124472,2.928311
CODSOF,4.21568,89.7558,1.1050710018,1.8672949923,1.5683448926,-3.5180774761717077,2.822798
ESUTIX,7.33038,1286.43,1.3335442268,6.9032876574,5.328873309,-3.943156106552869,0.143498
HEBKEG,5.17721,673.447,1.6285849877,3.6424304788,2.9307621368000003,-3.853645569789645,3.635078
PUYHOI,8.13748,873.829,0.0993168678,3.7897028736,2.4176522419,-5.186166913624921,1.814529
AZIXUD,5.99991,1563.65,4.6795383989,10.3632901162,7.627399482299999,-2.94652971531076,3.111373
RIPNUB,5.47583,336.814,2.250119547,2.9696330498,3.0953242257,-2.798307983342055,3.539842
FUNBAS,6.30412,988.664,1.452120608,6.4345185659,5.4152781652,-3.872674869291139,2.274828
SIVGOV,5.24396,1221.02,1.4255424223,7.6328274277,5.9198125007,-3.9626771075956606,5.211279
CODFEH,3.78989,1.47461,4.7903035408,5.1211560633,2.1746690626,-2.859184100405833,2.025203
BEPNOB,10.36311,1214.16,3.0317038582,10.2732529153,7.9272444905,-3.32996670627713,0.1223129999999999
QADWUQ,4.54229,369.306,2.6468253924000003,3.4127245368,2.703046976,-1.9750794346698857,3.269219
HEBJAB,4.69189,508.859,2.8424743635,3.9973895818,2.6035095175,-2.5190607567264807,0.170871
JOFKIA01,6.88318,916.145,1.2782575037,5.0619629015,2.9522363045,-4.010256154170198,0.672569
SARTIR,8.84902,1615.74,0.4588618577,12.6541740749,10.9314999255,-4.531276148861892,0.551234
EMAMOW,6.67757,815.706,1.7845005855,5.981265044,3.7621944369,-3.741087480004989,1.283116
HOQMIL01,5.56977,902.872,1.6476519959,5.1380805308,4.4295815446,-3.798182441830303,1.739677
MICNIW,4.82166,650.368,3.4529911767,8.5853273811,5.4501314837,-3.4775935895820225,2.18373
PAFNES,6.77184,1273.42,5.7892876595,9.4692134657,6.5997595944,-2.576339695546969,3.172396
HAWWUZ,6.85987,2193.53,5.07733834,12.7406947869,8.200725286,-2.5325073270284952,2.496941
JIVFUQ,6.2294,1472.64,0.936317559,8.2286743407,6.228855574,-4.218784059654017,2.676089
UKAQIH,7.0082,1407.5,1.7662090427,8.4715259519,7.1057837847,-3.600587625931217,2.941157
VAZROF,5.03461,642.692,1.7789158262,3.6185274188,3.4961118253,-3.6306022966522615,0.25166
OYEBIE,4.32919,141.481,1.8476726051,3.9079039087,3.5884364726,-3.688324530876562,2.870635
KUQXIE,4.66467,494.259,2.4291757443,3.3360675552,2.0003067399,-1.956445181592243,2.7255070000000003
NAHFIO,5.2589,860.84,1.1963266459,5.7349959487,5.0839300701,-3.9969748422233264,0.49555
FAFDEX,4.84612,507.616,1.3438626895,3.8834004477,3.7931777854,-3.8488846099016247,1.5073219999999998
XUMNEA,5.24244,366.247,1.6477147336,3.4071166581,3.2402432109,-3.38912274393789,1.891106
SOWYOS,5.46116,1159.46,1.931923624,7.6042298714,5.9281224966,-3.782687175198638,3.209511
SINZIA,4.91536,93.5,0.9019396056,1.1437425463,1.0339475843,-3.327795891519045,0.495789
OSAVUA,5.76863,1480.27,9.1584898095,14.5090230866,8.6984672152,-2.5245496462779164,2.29936
EBOCOQ,5.90692,1124.95,1.1567018093,7.4826389934,6.8299037012,-4.048189095984299,1.47783
FUMHEC,4.19047,74.7921,0.3696449277,2.7103802053,2.6760100361,-4.530267796573611,0.4124689999999998
KUDLUR,7.15013,684.97,0.391245569,2.8118262084000003,2.8824503778,-4.483105176421813,0.935057
PIJJOI,6.12931,642.774,1.7692640722,5.0199183454,4.7623587416,-3.662628604871755,2.972845
MICDEJ,5.47717,984.015,3.6317846246,6.564428049,5.1547595857,-2.137247451321508,1.140027
FOBCEG,5.2298,534.908,1.0314425552,6.1100438537,4.6361180237,-4.037831518686285,0.709291
NAWWUG,5.71546,1036.6383,1.9880843095,8.3017136057,7.0240455943,-3.5433273356848067,0.935024
ZETQAS,4.38482,29.9095,0.0434150089,0.6003115953,0.9855227538,-5.5067762384270935,3.62826
MEJQID,4.95338,643.444,2.1856333306,5.931939807,4.9483154197,-3.5735391652667614,2.232467
ZOMNEW,6.0596,1104.92,4.9691638705,8.0742672438,6.781435744,-2.892688254509326,2.804367
KOMHAW,4.30719,128.714,1.9504984219,4.0496588757,2.8033245919,-3.239462926207405,3.079331
UBIPAY,4.38835,739.461,4.4199425922,6.228397991,5.931927702,-2.471448363270117,1.404748
QOVSOL,6.4221,975.203,1.6803103107,6.4791956136,5.147311122,-3.7830691462589785,2.56109
ANAWIX,5.45667,1232.48,4.4373375703,6.2812149377,3.8105496498,-2.1502655759077065,3.334104
OPOYUO,4.84132,496.392,1.1274035734,4.6652536896,3.11392016,-3.9269748748377378,1.510837
UKAQAZ,7.03658,1409.12,2.3844818003,8.7163295145,7.1460334333,-2.5293837310141054,2.941871
ESEHIV,5.10587,588.268,1.9440409275,5.1789168648,3.8831253014,-3.641130901621767,0.530288
APAZOI,6.38612,1550.22,5.112534218,10.2140081534,7.4528426456,-2.740886547310956,3.269393
FAVGIV,4.89361,549.859,1.4244715112000002,2.766955314,2.2938288185,-2.658415130693593,2.879302
VUQJUN,11.32335,1535.34,3.2639762529,14.9776324335,11.3104283159,-2.705688119097988,0.5059480000000001
LIKFOB,4.37966,279.464,4.1786728158,5.9766549718,3.5045416643,-2.045035232435675,3.14571
QUVDUH,3.94913,22.373,1.8360246959,2.6245159679,2.4916102882,-0.990617100832399,2.899074
EMEJAJ,8.33992,1682.66495,0.3881422125,17.0084498341,14.6409426872,-4.602678867414619,0.921062
FIQYOU,4.72303,426.355,0.2837470654,2.4692491014,2.2067523615,-4.682640876249058,0.1482709999999999
XILVIZ,7.75339,1850.86,1.869969012,12.7791121754,10.8170958525,-3.646803382807665,0.070726
SABZON,4.43149,183.339,1.8275137897,3.3750811755,1.7148208672,-2.6672001151113145,1.01125
AMUFOF,5.11388,597.601,2.1394858906,5.2154268517,4.0568096464,-3.5613658974099414,0.2043899999999999
MEKDUC,4.94918,478.339,1.4713167562,3.1439983214,2.3055377378,-3.673494141960031,2.024724
CELZEA,5.3255,925.86,4.5870896659,6.1890881842,4.0415703539,-2.839627522511478,1.961341
GADMAA01,8.25017,904.903,0.1768776326,4.5495642714,2.4990562806,-4.954016300936453,4.427572
FIVNAZ,4.57167,579.653,4.1698923648,6.6893715907,2.4611707048,-1.0717998291938178,3.676919
OVICUS,5.87924,674.232,1.1701526267,3.2709070572,2.4056062731,-3.8727234624057054,2.810196
DAWCAH,5.49841,774.871,1.4157230457,4.2177124579,3.5706668776,-3.805582795541398,0.54496
WODROY,5.0308,503.355,0.9352321175,2.6072324199,2.2742301141,-3.896319403592824,0.658023
XEJWUG,4.34072,230.517,1.5119369733,2.509070756,2.8052522117,-3.402183097073192,0.2921819999999999
YARDIG,4.62568,676.834,2.5107553247,8.2323009297,6.5150569072,-3.5849815545591586,1.180268
DUBJUH,7.25048,1084.94,1.0078030925,7.4313862039,6.8397906668,-4.145147030941324,0.230461
PEGBUA,4.24178,192.514,0.7508950208,2.5965417805,2.3221158171000003,-4.145955220862308,4.609052
HAWWOT,7.05521,2227.96,4.9866172869,13.276251239,8.3236572808,-2.6580434487726143,2.395622
QOTWON,4.80342,378.589,0.3227354195,2.4713841641,2.4875721477,-4.635000871434513,1.1649349999999998
FAZPED,7.63868,662.609,1.5856627267,3.3744974168,2.4849146405,-3.547169750814941,0.132766
BADHUM,4.02685,24.5973,0.3872999174,3.8362456838,2.8838751727,-4.591014231788305,3.0086
LUMLIQ,4.75675,408.663,1.9831872351,2.788615129,2.6401593899,-2.756515477993542,3.0551630000000003
QOMSES,5.8822,1805.65,0.6993229360000001,10.1127623514,8.050786448,-4.336198284767585,0.474022
AYUWUM,4.54144,256.216,1.2014612336,4.5669497505,2.7356601523,-3.322350167378271,2.954996
MUTVUT,4.81469,181.417,0.7673567501,1.8800183584,1.6775351108,-4.00885502972747,3.438597
QITYOI,5.05446,920.902,3.3426586085,5.8227573691,3.8562304415,-2.3890142381329773,3.913942
MADWAQ,5.18677,479.606,0.8242702409,2.3514334706,2.3310348585,-4.093964649330959,2.074996
DAWDAI,5.05189,401.956,1.1007528663,3.5246112962,2.8010082789,-3.839819693529035,2.544795
OJAKOA,4.13561,74.2729,1.8200180874,2.7080838334,1.6767005325,-2.199826817430969,2.253172
CUCTAX,4.38086,196.652,1.4093156452,2.5428271591,2.6079344194000003,-3.404923946328093,2.031968
SUSRUV,7.5604,965.751,3.6167187504,7.037241015,5.4063706044,-3.0953682930057163,1.937085
PARMIG,4.62483,469.826,3.1680771144,4.6391327974,5.2202045703,-2.618264168528908,1.720259
MIDRAT,4.2048,132.352,1.4753873974,3.8686905412,4.1110443339,-3.819398210764992,2.831941
UVUQAE,5.89761,1169.86,2.540448582,6.7111516318,5.8168379122000005,-2.9449926594732614,0.876196
VOBQEK,4.27979,333.507,5.8566876829000005,7.3489085422,6.4089843117,-1.7953971332874383,1.163417
OJOZOE,4.69826,272.355,2.2071998251,2.5876609009,1.3454271735,-2.643991361872178,3.745215
WIDZOA,4.22629,102.706,0.779692785,2.7562757073,2.0981417514,-4.113183394252411,1.979858
GITZAM,3.82434,2.57081,0.1715100934,1.0577337638,0.704320339,-4.868817773851075,2.6832130000000003
IPIHIA,4.19682,284.737,2.6459483873,5.0320203802,3.9506113534,-2.0791668277101687,2.932672
QAWRIQ,4.49398,325.385,2.4508766012,3.1013379064,2.355376977,-1.6421737401939869,1.542726
DEYXIQ,4.50777,316.326,5.1521265485,6.2486657709,5.4216645845,-2.2483845250928414,0.299032
DEKHEH,5.43686,1078.38,1.3129105318,6.8668768127,5.2809574,-4.023437740947842,0.5622259999999999
TOHYUM,6.18172,1177.78,3.8890343553,8.1100632097,5.9976574999,-2.696864445527542,3.2328710000000003
IQOZUJ,5.11734,490.539,1.0048799425,3.5227528171,3.1553805812,-3.983597681089141,0.7961999999999999
ECEDEY,6.39219,1241.46,4.9504770571000005,8.330971357,6.5805070482,-2.3364272150952115,2.714155
GASSUR,7.13166,1478.49,0.8694026536,9.3001751928,8.3500429347,-4.276084826505183,2.977317
DIMDAG,6.94351,681.482,1.9854275695,4.1430348854,2.9509869961,-1.8179964382920943,2.665095
UDEPIE,6.47552,1061.36,0.4715932215,4.0665067274,2.7972047549,-4.481683511583529,0.226099
ZASJAG,8.3258,1126.42,0.2944875287,6.3453312526,5.9104259928000005,-4.713685024615345,2.406427
VONBUW,4.78685,175.48,0.9965180316,2.0466648064,1.5490304057,-3.7626774866784567,2.677306
GIQXUA,4.89316,847.19,2.7908694971,5.8995963794,4.4853689934,-1.555652240968672,0.3350759999999999
QUPDEL01,4.31787,401.762,3.2908036614,3.7188601315,3.0534441601,-1.3537315829763037,3.070796
GISWEM,4.22229,72.8537,1.0385269351,2.286679856,2.7748843566,-3.737423149203814,1.638271
VASKOR,4.41725,853.333,0.9576226415,5.3705988661,4.2970550358,-4.138659780702309,1.978741
HIFWAV,6.82644,1125.16,0.6629120042000001,5.8162605236000005,5.3027092895,-4.202331597170359,4.4969920000000005
DUMFEY,5.56832,598.7447000000001,2.7144090512,11.2841530532,7.5992673611,-3.594670718197124,0.897545
ZAZBUZ,6.78822,1237.25,1.4466714245,7.9376440704,5.7286950705,-3.9900097582343625,0.7168059999999999
SAKRED,5.5169,2016.02,0.9004824814,10.50881564,8.2571946681,-4.222673968826457,2.87475
IROROY,4.85913,330.393,2.6581178871,3.527327098,2.7019206321,-0.8503529639602697,2.114529
OJAKUG,3.99498,39.4475,1.720890726,2.5551489802000003,1.6347146835,-2.861839457836411,2.194926
DAFTEM,3.79844,12.9599,0.4834140589,3.5207100944,2.7992994534,-4.44504832349098,3.080557
DUBKAO,7.17371,1086.46,1.0294653832,7.20092254,6.6850354126,-4.139745865289262,1.01626
HIBGIJ,4.81263,465.282,0.27870448,2.6300934999,2.2486336282,-4.684428465385548,1.54746
XEXMEU,9.62722,1281.25,0.3285784036,8.5151159204,6.8786488251,-4.659730431255545,1.897464
FIHFAF,6.24558,1157.0,2.2334087465,7.0948197823,5.0899313734,-3.355954521497577,0.290136
VIYMAT,5.60515,1307.17,4.7992373312000005,6.6196640456,4.6438988135,-2.5540005973869784,2.627886
KOCWIJ,4.05468,89.4904,6.6885091921,8.6207111356,5.3372283569,-2.4601313470406896,1.956534
OKAZAD,4.45701,279.76,2.2120623872,3.7834187857,3.5711370512,-3.2549119298328257,2.654658
PAPROO,7.19025,702.745,0.3494930545,2.7582441877,2.8930993652,-4.546493608344037,0.935137
