CSD code,Largest included sphere diameter (A),Total volumetric surface area (m^2/m^3),CO2 uptake at LP (mol/kg),CO2 uptake at HP (mol/kg),CH4 uptake at HP (mol/kg),logKH_CO2,Band gap (eV),DOI,Journal
QOZDOY,5.27343,837.373,2.9816771881,5.2393010163,4.9374476349,-3.2306175037822324,2.244078,,Journal(Chemical Communications)
MIHHUG,5.15935,298.886,1.4831285642,3.0693319129,2.7619703568,-3.252579646152399,2.12911,10.1002/1521-3773(20011203)40:23<4422::AID-ANIE4422>3.0.CO;2-G,"Journal(Angewandte Chemie, International Edition)"
RIYWED,4.63321,131.233,2.1744104141,2.4496799227,2.2699087035,-2.4571658623506023,3.024011,10.1021/ja500356z,Journal(Journal of the American Chemical Society)
RAXDAX,3.78,1.7515900000000002,0.2145490839,2.1815186021,1.788505965,-4.776112254554779,1.84677,10.1039/c1ce05231d,Journal(CrystEngComm)
APAYOH,6.13125,1841.45,4.6572418171,10.1027849498,8.2471942773,-2.374334699508012,2.798149,10.1039/C6CE00960C,Journal(CrystEngComm)
MOXNUJ,7.33692,1756.01,2.3640213693,17.7988519835,10.8704364262,-3.766481019324574,0.958962,10.1021/ic8019809,Journal(Inorganic Chemistry)
HIVQAG,4.56148,267.337,1.4811463098,2.5709086263,1.9471512687,-3.1176832673051185,0.871564,10.1039/C3CE42660B,Journal(CrystEngComm)
TIRLIQ,5.16708,554.571,0.9532424402,3.6392241863,3.1985753538,-4.031789388088407,3.080805,10.1007/s10870-007-9244-3,Journal(Journal of Chemical Crystallography)
ZETPUL,4.3933,32.9414,0.0398315113,0.5725020169,0.9408488664,-5.520590262866024,3.64576,10.1016/j.ica.2013.02.016,Journal(Inorganica Chimica Acta)
KAYBIX,5.6946,1106.09,5.0498140108,7.5987871285,5.4612346689,-2.557786847277181,2.939192,10.1021/cg300093h,Journal(Crystal Growth and Design)
MOZFIR,3.96385,18.296,0.4105720027,1.2334413121,1.0593744996,-4.357802667876805,1.965851,10.1080/00958970902769807,Journal(Journal of Coordination Chemistry)
ZUSBIA,4.68848,497.442,2.3681463666,6.0558377756,4.6682147103,-3.5336188246354308,2.414843,10.1071/CH14669,Journal(Australian Journal of Chemistry)
KOSKUA,11.38797,1440.18,2.8096805418,11.449109294,7.9789504764,-3.7205087252731377,1.071221,10.1021/ja506230r,Journal(Journal of the American Chemical Society)
AMUFIZ,3.98894,29.8666,1.8385857278,2.5810574736,2.0246383595,-2.8819734900511307,0.03598,10.1021/acs.inorgchem.5b02340,Journal(Inorganic Chemistry)
MIKJAR,5.99502,536.183,0.8851921439,2.7183772402,1.6056197517,-3.976031853236694,4.399295,10.1021/ja0100468,Journal(Journal of the American Chemical Society)
NUYWEK,4.35086,87.7084,0.4489703871,1.841390625,1.7690503249,-4.325227930900384,3.157521,10.1039/c0nj00302f,Journal(New Journal of Chemistry)
NUYWOU,4.72881,236.142,1.8403892188,3.4715014701,2.2789955269,-3.0958689550219627,2.982934,10.1039/c0nj00302f,Journal(New Journal of Chemistry)
GACPUX,5.9525,1118.84,2.8143912963,9.671767113,7.4355937691,-3.5015047380008686,2.934917,10.1002/chem.201000522,Journal(Chemistry-A European Journal)
GUBVUU,6.86464,1328.1,3.4353768248,10.7200880387,8.7735883817,-3.3663326225119885,0.4173299999999998,10.1021/ja982577a,Journal(Journal of the American Chemical Society)
MIVNUB,3.84269,4.62958,0.099332446,1.6654711631,0.656838189,-5.168635170617267,3.340216,10.1002/ejic.200700810,Journal(European Journal of Inorganic Chemistry)
XENKIM,7.32998,1996.83,3.7765236026,15.8261849821,12.0068336125,-3.615263185114317,0.963749,10.1039/c2cc37497h,Journal(Chemical Communications)
ADABUE,4.5494900000000005,192.049,0.3904355976,1.8280438459,1.7935700039,-4.516103316042369,0.710393,10.1002/anie.201202992,"Journal(Angewandte Chemie, International Edition)"
AHINIP,5.10577,155.204,0.8886312863,2.5701106854,1.8247056279,-3.8421837353017385,2.062508,10.1021/ic802445q,Journal(Inorganic Chemistry)
SARHAW,11.26396,1494.94,3.9734623907,11.6644913398,8.1506586736,-3.528042685422887,0.627175,10.1126/science.1217544,Journal(Science)
HUQHOS,9.7384,1719.47,0.7812964961000001,14.9444642397,12.2485306941,-4.190000154058473,1.639982,10.1002/chem.201502758,Journal(Chemistry-A European Journal)
XUMVEH,5.51001,1705.63,4.6232226911000005,9.5295794371,6.578951755,-1.236529327869564,2.047397,,Journal(Dalton Transactions)
DOYBEA,5.83429,1342.36,3.6139983305,9.3554910794,6.2629113713,-3.386968348354616,2.8688770000000003,10.1002/anie.201410459,"Journal(Angewandte Chemie, International Edition)"
DURDAX,8.5072,2495.17,2.6436491658,20.4779665224,14.6370178395,-3.5887221408655736,2.95335,10.1039/C5RA10391F,Journal(RSC Advances)
IZEBEV,3.9737,32.0756,2.0360578214,2.0914977041,1.3288191145,-2.246476689431302,2.729306,10.1016/j.inoche.2011.03.050,Journal(Inorganic Chemistry Communications)
CUYRUK,3.95948,11.2004,0.0300945654,1.0045569984,1.114110004,-5.739406341057072,2.649317,10.1021/cg100020t,Journal(Crystal Growth and Design)
OTATOT,5.58723,1429.4,0.9023576824,7.6495369916,5.5509031627,-4.270190729024608,0.0246529999999998,10.1021/cg101432k,Journal(Crystal Growth and Design)
REYCOP,3.95649,20.7056,0.7598898352,3.4125253661,1.7714475667,-4.146937880903302,2.535329,10.1039/c3ce26864k,Journal(CrystEngComm)
RUGZAW,9.17489,1304.97,2.1072851402,10.9216451013,8.3618395247,-2.9121369822336467,1.4129850000000002,10.1021/cg501758a,Journal(Crystal Growth and Design)
ZURLAB,4.89339,257.028,0.4938772754,2.0743303693,1.824220705,-4.362977838966473,0.0905219999999999,10.1071/CH14159,Journal(Australian Journal of Chemistry)
TUTHOG,7.58539,1319.52,4.9938981738,9.698844188,8.114677171,-2.998426365452555,1.3063269999999998,10.1002/chem.200903129,Journal(Chemistry-A European Journal)
RUGKOV,6.88401,2390.24,3.3610956207,14.0477765047,10.1756226642,-2.652878886645812,2.7762580000000003,10.1021/cg5016093,Journal(Crystal Growth and Design)
KOZSID,5.70928,249.381,0.1178170921,1.3395815511,1.1627002029,-5.05582736682535,0.6330319999999999,10.1021/cg501324r,Journal(Crystal Growth and Design)
YAHPED,6.77398,1469.77,1.148333554,9.2611508595,8.2195345733,-4.11934415383406,1.1876380000000002,10.1021/ic049030j,Journal(Inorganic Chemistry)
LAGQOB,4.896710000000001,1276.92,4.1341037716,7.1916444376,6.1711693615,-2.066576494346046,2.369072,10.1002/anie.201003900,"Journal(Angewandte Chemie, International Edition)"
COYCEZ,6.30223,1337.39,1.8570221024,7.9709495041,6.2653845894,-3.699724159681229,1.2592500000000002,10.1021/cg800896k,Journal(Crystal Growth and Design)
LOXWEC,7.26238,913.235,0.2656327642,4.2241083477,3.9845437621,-4.751543635126591,0.647717,10.1002/anie.201408933,"Journal(Angewandte Chemie, International Edition)"
GADDOH,8.41895,1532.29,3.6637512082,9.1666622638,5.958328877,-2.019907504872124,3.4154940000000003,10.1039/C5DT04687D,Journal(Dalton Transactions)
ADODOO,5.9443,856.123,1.3338722856,4.4612849629,3.6779930289,-3.918224370782837,3.445564,10.1039/c2cc35432b,Journal(Chemical Communications)
KOMJON,5.80364,194.55,0.1899682917,0.938254812,0.7304996773,-4.765849845394492,4.445425999999999,10.1021/ic403080n,Journal(Inorganic Chemistry)
ILOJEZ,4.06811,53.053,0.6349657906,2.3324540756,1.9303662113,-4.2516561202641565,2.769203,10.1039/c0dt00894j,Journal(Dalton Transactions)
YUZBIG,5.58636,433.855,1.6297906819,3.1301448157,2.0507705981,-3.3528929532034075,3.823177,10.1038/ncomms9697,Journal(Nature Communications)
FIGXEY,3.78573,1.14429,0.978746818,5.6912070012,1.3879016232,-4.156706786272601,4.584853,10.1016/0022-5088(86)90079-2,Journal(Journal of Less-Common Metals)
PORVUO,4.67797,913.795,2.9797465841,6.9723727094,7.0030178886,-3.4744770841007004,1.181142,10.1016/j.ica.2008.07.030,Journal(Inorganica Chimica Acta)
QUQBAH,9.66456,1669.96,0.5474518579000001,15.8421514502,12.7091552361,-4.441885691571684,0.0846200000000001,10.1038/nature15732,Journal(Nature (London))
QUPHIT,4.22766,288.82,1.6931188126,3.8082128633,3.9046333772,-3.386586343532477,0.460209,10.1021/cg1001557,Journal(Crystal Growth and Design)
DATHAJ,5.55335,489.269,2.8317928244,2.997567683,1.8448231005,-0.1356800030809186,3.145259,10.1021/cg2013717,Journal(Crystal Growth and Design)
LIDWIG,6.16997,872.791,1.5291715254,5.6353319367,4.7269570379,-3.900567992868288,0.400978,10.1039/C2CE25092F,Journal(CrystEngComm)
SABWEA,4.53458,229.161,2.0601277647,3.6295976327,1.9024368642,-1.1556222449568423,1.000394,10.1039/B712280B,Journal(CrystEngComm)
ZUSBOG,4.86162,637.213,2.5099260232,6.3822150533,5.9189888824,-3.538818230499764,2.565047,10.1071/CH14669,Journal(Australian Journal of Chemistry)
OMIPAD,5.24341,313.783,1.6992714388,3.4905843995,3.2749708124,-3.277937286980566,1.86735,10.1016/j.jssc.2016.04.021,Journal(Journal of Solid State Chemistry)
OSIXIY,4.45544,199.496,0.6935291515,1.310516802,1.5122125511,-3.951158270344026,3.023428,10.1021/cg101435b,Journal(Crystal Growth and Design)
CAVREY,7.18071,1784.3,1.2733247958,9.8155241849,8.0318664668,-3.918062510511829,3.048307,10.1039/c2dt12059c,Journal(Dalton Transactions)
JORYUM,7.33951,894.162,0.2227685804,5.2699841387,4.0472666021,-4.833421890080348,3.487636,10.1021/cg401805x,Journal(Crystal Growth and Design)
JALPAQ,3.97561,16.0219,0.0711582459,1.6775369957,1.5266554682,-5.310091181101221,0.902551,10.1080/00958972.2015.1110239,Journal(Journal of Coordination Chemistry)
ZOHBUV,4.01075,30.7255,1.4695959956,4.0967791002,0.7531006087000001,-3.918443877728072,2.886452,10.1039/C4CE00417E,Journal(CrystEngComm)
CUGFOB,3.89377,13.4897,0.3119523625,2.6049415912,1.4040822186,-4.621911121361213,3.553257,10.1021/acs.inorgchem.5b00826,Journal(Inorganic Chemistry)
INOMOP01,5.44312,1113.77,5.5324637162,10.2736113503,6.0092641488,-2.800148871813526,3.067022,10.1016/j.molstruc.2016.11.029,Journal(Journal of Molecular Structure)
OKAYIK,4.91102,235.649,1.4008950254,1.925032459,1.5594919377,-3.005620809692674,2.766745,10.1021/acs.chemmater.5b03792,Journal(Chemistry of Materials)
HIYBUN,10.15365,1430.85,0.1466559925,7.7484540758,5.3104065878,-5.0014939338058095,2.028989,10.1002/anie.200704809,"Journal(Angewandte Chemie, International Edition)"
FAVGUH,4.86763,537.129,1.373361363,2.7520506231,2.2358859879,-3.0043064647089914,2.915471,10.1021/acs.cgd.6b01763,Journal(Crystal Growth and Design)
SABZED,4.43879,183.782,1.9528827031,3.2086735165,1.6791270816,-2.120553155054797,1.016299,10.1039/B712280B,Journal(CrystEngComm)
LOFVIN,6.31143,443.905,2.4643371164,5.0363162231,3.062001331,-1.853007338713189,1.3791060000000002,10.1039/C4CE00923A,Journal(CrystEngComm)
UXABOL,5.3893,608.536,2.8044035121,3.9697957062,2.022719705,-2.469307356364799,2.357389,10.1039/c0cc05547f,Journal(Chemical Communications)
TAKTIL,7.09237,1387.62,4.8983208641,9.3322069589,8.0563830671,-3.520410295152005,3.3685910000000003,10.1021/acs.inorgchem.5b02108,Journal(Inorganic Chemistry)
AVIMUO,5.70679,502.896,3.8427077418,6.1071744046,3.4272718879,-2.545184093922092,1.065211,10.1021/cg200229h,Journal(Crystal Growth and Design)
KAYBUJ,5.49315,1144.51,5.0292752664,7.5878780782,5.8902901357,-2.560640459704284,2.950855,10.1021/cg300093h,Journal(Crystal Growth and Design)
UTELIQ,6.45449,1262.56,6.69728889,12.5474599767,10.0230777659,-2.297297253134776,1.4908670000000002,10.1016/j.inoche.2016.06.022,Journal(Inorganic Chemistry Communications)
DUMXEQ01,4.78039,440.721,1.2864625872,3.0575708514,2.6240279583,-3.806104934380649,2.76466,10.1002/anie.201503636,"Journal(Angewandte Chemie, International Edition)"
MUFYAP,6.26363,594.05,2.9011526054,5.1890026932,3.0043799328,-2.021818569720788,2.098381,10.1039/C4CE02564D,Journal(CrystEngComm)
DEFKUU,5.40643,1309.63,0.980252274,4.2976156916,3.9534488882,-4.1295521992491535,0.539571,10.1107/S0108270185008745,"Journal(Acta Crystallographica,Section C: Crystal Structure Communications [1983-2014])"
KOMJED,5.84055,204.652,0.1830691424,1.0065822766,0.7334220322,-4.799346455898699,4.428343,10.1021/ic403080n,Journal(Inorganic Chemistry)
HAWZEM,4.83947,665.5889999999999,2.6445456839,4.9457865748,4.5179011856,-3.3024472370278666,0.926001,10.1016/j.inoche.2011.12.041,Journal(Inorganic Chemistry Communications)
FIMXUW,4.9624500000000005,477.565,1.6629314039,2.8500929264,1.6219462132,-1.9405009548395704,2.63904,10.1016/j.inoche.2013.03.035,Journal(Inorganic Chemistry Communications)
IBASUB,7.25865,730.288,0.3416953718,2.8160512115,2.9655682061,-4.580249062213731,0.935073,10.1021/ja200978u,Journal(Journal of the American Chemical Society)
HUDWUA,5.86312,1190.42,2.3420350596,6.8072171139,5.649577843,-3.611256006752497,0.1111649999999999,10.1039/C5CE00762C,Journal(CrystEngComm)
QUZZES,5.06119,651.609,4.820054661,9.2523633335,7.1661277526,-3.019614344717229,2.217628,10.1039/C6TC00244G,Journal(Journal of Materials Chemistry C)
SOKWUM,5.85854,2073.32,0.1665399727,5.8749517073,5.0930083939,-4.962434072087151,0.736383,10.1021/cg4018163,Journal(Crystal Growth and Design)
MUZVUA,6.29282,1669.31,1.7173351433,8.5476386993,6.9963271052,-3.513131904850149,2.55778,10.1016/j.jssc.2015.09.014,Journal(Journal of Solid State Chemistry)
MAGBAZ,7.74379,1809.88,0.3589164062,10.9774800339,9.1902424619,-4.634416555693362,3.325479,10.1039/c0dt00525h,Journal(Dalton Transactions)
XUDYEC,6.34584,1818.91,3.2457656088,9.6357628166,7.6248560276,-3.13776125345607,2.362762,10.1016/j.inoche.2015.02.017,Journal(Inorganic Chemistry Communications)
PEWFII01,4.22419,340.45,2.6939516336,4.3894811602,2.2801197462,-2.9618012246210346,0.904726,10.1080/00958972.2016.1150458,Journal(Journal of Coordination Chemistry)
QARCET,5.6311,599.27,1.0662779449,2.9751671301,2.6583024962,-3.887468727552191,2.167796,10.1021/ic2015463,Journal(Inorganic Chemistry)
IHIMAP,4.88033,415.101,2.2516391336,3.6491718359,1.6881813626,-3.454402213866452,4.502768,10.1021/acs.cgd.5b00426,Journal(Crystal Growth and Design)
UXOZIS02,5.14755,653.119,0.2728146973,8.1984401717,8.1870793594,-4.739558903243879,0.4479740000000001,10.1039/C6CC05873F,Journal(Chemical Communications)
QUJFUX,3.94761,39.8428,2.6462911412,2.7588372715,1.9379050836,-1.4259698903924436,3.314558,10.1039/b909772d,Journal(CrystEngComm)
PEZCII,12.50562,1321.99,1.4555947679,10.8373653645,8.4110983919,-3.539432887938998,2.920721,10.1002/adfm.201203288,Journal(Advanced Functional Materials)
PEGCIP,5.4738,1074.69,2.8519216022,6.4187643023,5.0415827768,-2.8407968764450726,0.752587,10.1021/ja3059827,Journal(Journal of the American Chemical Society)
EQUBIC,4.62524,496.233,2.6227238382,2.9712231717,2.5803067554,-2.1116233485595264,3.677651,10.1021/ic902241n,Journal(Inorganic Chemistry)
NUTYIM,13.08435,1601.9,0.7693545422,15.9186001549,11.4885121103,-4.169075316124472,2.928311,10.1039/C5CE01725D,Journal(CrystEngComm)
CODSOF,4.21568,89.7558,1.1050710018,1.8672949923,1.5683448926,-3.518077476171708,2.822798,10.1039/C4CE00093E,Journal(CrystEngComm)
ESUTIX,7.33038,1286.43,1.3335442268,6.9032876574,5.328873309,-3.943156106552869,0.143498,10.1021/jacs.5b09231,Journal(Journal of the American Chemical Society)
HEBKEG,5.17721,673.447,1.6285849877,3.6424304788,2.9307621368000003,-3.853645569789645,3.635078,10.1021/cg3008443,Journal(Crystal Growth and Design)
PUYHOI,8.13748,873.829,0.0993168678,3.7897028736,2.4176522419,-5.186166913624921,1.814529,10.1002/chem.201503796,Journal(Chemistry-A European Journal)
AZIXUD,5.99991,1563.65,4.6795383989,10.3632901162,7.627399482299999,-2.94652971531076,3.111373,10.1107/S1600536811037056,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
RIPNUB,5.47583,336.814,2.250119547,2.9696330498,3.0953242257,-2.798307983342055,3.539842,10.1039/C3TA13981F,Journal(Journal of Materials Chemistry A)
FUNBAS,6.30412,988.664,1.452120608,6.4345185659,5.4152781652,-3.872674869291139,2.274828,10.1021/ja909519e,Journal(Journal of the American Chemical Society)
SIVGOV,5.24396,1221.02,1.4255424223,7.6328274277,5.9198125007,-3.9626771075956606,5.211279,10.1039/C3DT53269K,Journal(Dalton Transactions)
CODFEH,3.78989,1.47461,4.7903035408,5.1211560633,2.1746690626,-2.859184100405833,2.025203,10.1039/b717297d,Journal(CrystEngComm)
BEPNOB,10.36311,1214.16,3.0317038582,10.2732529153,7.9272444905,-3.32996670627713,0.1223129999999999,10.1039/c3cc41842a,Journal(Chemical Communications)
QADWUQ,4.54229,369.306,2.6468253924000003,3.4127245368,2.703046976,-1.9750794346698857,3.269219,10.1039/C6CE00023A,Journal(CrystEngComm)
HEBJAB,4.69189,508.859,2.8424743635,3.9973895818,2.6035095175,-2.5190607567264807,0.170871,10.1021/cg300829c,Journal(Crystal Growth and Design)
JOFKIA01,6.88318,916.145,1.2782575037,5.0619629015,2.9522363045,-4.010256154170198,0.672569,,Journal(CSD Communication)
SARTIR,8.84902,1615.74,0.4588618577,12.6541740749,10.9314999255,-4.531276148861892,0.551234,,Journal(CSD Communication)
EMAMOW,6.67757,815.706,1.7845005855,5.981265044,3.7621944369,-3.741087480004989,1.283116,,Journal(CSD Communication)
HOQMIL01,5.56977,902.872,1.6476519959,5.1380805308,4.4295815446,-3.798182441830303,1.739677,10.1039/C4DT01883D,Journal(Dalton Transactions)
MICNIW,4.82166,650.368,3.4529911767,8.5853273811,5.4501314837,-3.4775935895820225,2.18373,10.1002/chem.200501067,Journal(Chemistry-A European Journal)
PAFNES,6.77184,1273.42,5.7892876595,9.4692134657,6.5997595944,-2.576339695546969,3.172396,10.1039/C5RA19936K,Journal(RSC Advances)
HAWWUZ,6.85987,2193.53,5.07733834,12.7406947869,8.200725286,-2.5325073270284952,2.496941,10.1021/ic201986m,Journal(Inorganic Chemistry)
JIVFUQ,6.2294,1472.64,0.936317559,8.2286743407,6.228855574,-4.218784059654017,2.676089,10.1021/ic701628f,Journal(Inorganic Chemistry)
UKAQIH,7.0082,1407.5,1.7662090427,8.4715259519,7.1057837847,-3.600587625931217,2.941157,,Journal(Inorganic Chemistry)
VAZROF,5.03461,642.692,1.7789158262,3.6185274188,3.4961118253,-3.6306022966522615,0.25166,10.1007/s12039-011-0167-3,"Journal(Journal of Chemical Sciences(Bangalore,India))"
OYEBIE,4.32919,141.481,1.8476726051,3.9079039087,3.5884364726,-3.688324530876562,2.870635,10.1002/chem.201100176,Journal(Chemistry-A European Journal)
KUQXIE,4.66467,494.259,2.4291757443,3.3360675552,2.0003067399,-1.956445181592243,2.7255070000000003,10.1107/S0108270110008085,"Journal(Acta Crystallographica,Section C: Crystal Structure Communications [1983-2014])"
NAHFIO,5.2589,860.84,1.1963266459,5.7349959487,5.0839300701,-3.9969748422233264,0.49555,10.1039/C6CC00185H,Journal(Chemical Communications)
